index_id,date_anio,date,day_week,close,open,high,low,adj_close,var_day,volume
00001,1980,1980-01-02,3,105.76,0.0,108.43,105.29,105.76,,40610000
00002,1980,1980-01-03,4,105.22,0.0,106.08,103.26,105.22,-0.51,50480000
00003,1980,1980-01-04,5,106.52,0.0,107.08,105.09,106.52,1.22,39130000
00004,1980,1980-01-07,1,106.81,0.0,107.8,105.8,106.81,0.27,44500000
00005,1980,1980-01-08,2,108.95,0.0,109.29,106.29,108.95,1.96,53390000
00006,1980,1980-01-09,3,109.05,0.0,111.09,108.41,109.05,0.09,65260000
00007,1980,1980-01-10,4,109.89,0.0,110.86,108.47,109.89,0.76,55980000
00008,1980,1980-01-11,5,109.92,0.0,111.16,108.89,109.92,0.03,52890000
00009,1980,1980-01-14,1,110.38,0.0,111.44,109.34,110.38,0.42,52930000
00010,1980,1980-01-15,2,111.14,0.0,111.93,109.45,111.14,0.68,52320000
00011,1980,1980-01-16,3,111.05,0.0,112.9,110.38,111.05,-0.08,67700000
00012,1980,1980-01-17,4,110.7,0.0,112.01,109.81,110.7,-0.32,54170000
00013,1980,1980-01-18,5,111.07,0.0,111.74,109.88,111.07,0.33,47150000
00014,1980,1980-01-21,1,112.1,0.0,112.9,110.66,112.1,0.92,48040000
00015,1980,1980-01-22,2,111.51,0.0,113.1,110.92,111.51,-0.53,50620000
00016,1980,1980-01-23,3,113.44,0.0,113.93,110.93,113.44,1.7,50730000
00017,1980,1980-01-24,4,113.7,0.0,115.27,112.95,113.7,0.23,59070000
00018,1980,1980-01-25,5,113.61,0.0,114.45,112.36,113.61,-0.08,47100000
00019,1980,1980-01-28,1,114.85,0.0,115.65,112.93,114.85,1.08,53620000
00020,1980,1980-01-29,2,114.07,0.0,115.77,113.03,114.07,-0.68,55480000
00021,1980,1980-01-30,3,115.2,0.0,115.85,113.37,115.2,0.98,51170000
00022,1980,1980-01-31,4,114.16,0.0,117.17,113.78,114.16,-0.91,65900000
00023,1980,1980-02-01,5,115.12,0.0,115.54,113.13,115.12,0.83,46610000
00024,1980,1980-02-04,1,114.37,0.0,116.01,113.83,114.37,-0.66,43070000
00025,1980,1980-02-05,2,114.66,0.0,115.25,112.15,114.66,0.25,41880000
00026,1980,1980-02-06,3,115.72,0.0,116.57,113.65,115.72,0.92,51950000
00027,1980,1980-02-07,4,116.28,0.0,117.87,115.22,116.28,0.48,57690000
00028,1980,1980-02-08,5,117.95,0.0,118.66,115.72,117.95,1.42,57860000
00029,1980,1980-02-11,1,117.12,0.0,119.05,116.31,117.12,-0.71,58660000
00030,1980,1980-02-12,2,117.9,0.0,118.41,115.75,117.9,0.66,48090000
00031,1980,1980-02-13,3,118.44,0.0,120.22,117.57,118.44,0.46,65230000
00032,1980,1980-02-14,4,116.72,0.0,119.3,116.04,116.72,-1.47,50540000
00033,1980,1980-02-15,5,115.41,0.0,116.7,114.12,115.41,-1.14,46680000
00034,1980,1980-02-19,2,114.6,0.0,115.67,113.35,114.6,-0.71,39480000
00035,1980,1980-02-20,3,116.47,0.0,117.18,114.06,116.47,1.61,44340000
00036,1980,1980-02-21,4,115.28,0.0,117.9,114.44,115.28,-1.03,51530000
00037,1980,1980-02-22,5,115.04,0.0,116.46,113.43,115.04,-0.21,48210000
00038,1980,1980-02-25,1,113.33,0.0,114.93,112.62,113.33,-1.51,39140000
00039,1980,1980-02-26,2,113.98,0.0,114.76,112.3,113.98,0.57,40000000
00040,1980,1980-02-27,3,112.38,0.0,115.12,111.91,112.38,-1.42,46430000
00041,1980,1980-02-28,4,112.35,0.0,113.7,111.33,112.35,-0.03,40330000
00042,1980,1980-02-29,5,113.66,0.0,114.12,111.77,113.66,1.15,38810000
00043,1980,1980-03-03,1,112.5,0.0,114.34,112.01,112.5,-1.03,38690000
00044,1980,1980-03-04,2,112.78,0.0,113.41,110.83,112.78,0.25,44310000
00045,1980,1980-03-05,3,111.13,0.0,113.94,110.58,111.13,-1.48,49240000
00046,1980,1980-03-06,4,108.65,0.0,111.29,107.85,108.65,-2.28,49610000
00047,1980,1980-03-07,5,106.9,0.0,108.96,105.99,106.9,-1.64,50950000
00048,1980,1980-03-10,1,106.51,0.0,107.86,104.92,106.51,-0.37,43750000
00049,1980,1980-03-11,2,107.78,0.0,108.54,106.18,107.78,1.18,41350000
00050,1980,1980-03-12,3,106.87,0.0,108.4,105.42,106.87,-0.85,37990000
00051,1980,1980-03-13,4,105.62,0.0,107.55,105.1,105.62,-1.18,33070000
00052,1980,1980-03-14,5,105.43,0.0,106.49,104.01,105.43,-0.18,35180000
00053,1980,1980-03-17,1,102.26,0.0,105.23,101.82,102.26,-3.1,37020000
00054,1980,1980-03-18,2,104.1,0.0,104.71,101.14,104.1,1.77,47340000
